,URL,URL-href,TotalRating,TypeLevel1_x,TotalSeat,service_pet_friendly,service_Wi-Fi,service_reservation,service_Parking,service_Good for Groups,service_Delivery,service_Good for Kids,service_alcohol,service_Credit Card,review_wordlist,ReviewScore,TotalReview,PriceRange,Province,2020Reward,RecMenu1,RecMenu2,RecMenu3,rest_service_Cluster,friend,family,couple,rush,save,delivery,hungry,party,business
5675,CoCo Ichibanyaเดอะมอลล์ นครราชสีมา ชั้น 1,https://www.wongnai.com/restaurants/248050kK-coco-ichibanya-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A1%E0%B8%AD%E0%B8%A5%E0%B8%A5%E0%B9%8C%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A,27,อาหารญี่ปุ่น,11 - 40 ที่นั่ง,0,0,0,1,1,0,0,0,1,[],4.2,25.0,฿฿,นครราชสีมา,0.0,,,,0,64.0,52.0,0.0,0.0,0,0,36.0,0,0.0
5676,บ้านลานตะวัน,https://www.wongnai.com/restaurants/23660Kl-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A5%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99,11,อาหารไทย,81 - 150  ที่นั่ง,1,1,1,1,1,1,1,1,1,[],3.7,10.0,฿฿,นครราชสีมา,0.0,ลองอาหารแนะนำของร้าน,แกงผักหวาน,ไก่ทอดน้ำปลา,1,70.0,70.0,20.0,0.0,0,0,0.0,0,0.0
5677,ตำโสเหล่สนามกอล์ฟไทเกอร์,https://www.wongnai.com/restaurants/269912XD-%E0%B8%95%E0%B8%B3%E0%B9%82%E0%B8%AA%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%88-%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%AD%E0%B8%A5%E0%B9%8C%E0%B8%9F%E0%B9%84%E0%B8%97%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C,15,อาหารอีสาน/ร้านส้มตำ,41 - 80 ที่นั่ง,1,1,1,1,1,0,1,1,1,[],3.7,13.0,฿฿,นครราชสีมา,0.0,ตำหอยแครง,ตำลาว,ไก่ทอด,1,38.0,23.0,0.0,0.0,0,0,15.0,0,0.0
5678,สมพร ราชวัตร ก๋วยเตี๋ยวเนื้อ,https://www.wongnai.com/restaurants/387224Qo-%E0%B8%AA%E0%B8%A1%E0%B8%9E%E0%B8%A3-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%A3-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD,6,ก๋วยเตี๋ยว,11 - 40 ที่นั่ง,0,1,0,1,0,0,0,0,0,[],4.5,4.0,฿,นครราชสีมา,0.0,,,,0,0.0,0.0,0.0,25.0,0,0,0.0,0,0.0
5679,53 Seafood,https://www.wongnai.com/restaurants/414687jm-53-seafood,11,อาหารไทย,41 - 80 ที่นั่ง,0,1,1,1,1,0,1,1,0,[],4.2,7.0,฿,นครราชสีมา,0.0,ข้าวผัดทะเล,กุ้งเผา หอยแครงลวก ปลากระพงทอดน้ำปลา,ขนมจีนน้ำยาปู,1,38.0,38.0,0.0,0.0,0,0,13.0,0,0.0
5680,อุดม Seafood ปากช่อง,https://www.wongnai.com/restaurants/322889yN-%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A1-seafood-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87,7,อาหารทะเล,11 - 40 ที่นั่ง,0,1,1,1,1,0,1,0,0,[],4.1,2.0,฿฿,นครราชสีมา,0.0,,,,2,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
5681,Village Farm & Winery,https://www.wongnai.com/restaurants/8846Li-village-farm-winery,51,สเต๊ก,None,0,0,0,1,0,0,0,0,1,[],3.9,38.0,฿฿,นครราชสีมา,0.0,,,,0,53.0,55.0,55.0,0.0,0,0,0.0,0,0.0
5682,A cake Homemade Cake & Coffee,https://www.wongnai.com/restaurants/26132WG-a-cake-homemade-cake-coffee,11,คาเฟ่,None,0,1,1,1,1,1,1,0,0,[],4.1,9.0,฿,นครราชสีมา,0.0,บลูเบอรี่ชีสเค้ก,บราวนี่,ลาเต้,2,100.0,67.0,89.0,0.0,0,0,0.0,0,0.0
5683,ครัวสุพัชชา แหนมเห็ด,https://www.wongnai.com/restaurants/189043xU-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%B1%E0%B8%8A%E0%B8%8A%E0%B8%B2-%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B9%87%E0%B8%94,23,อาหารไทย,41 - 80 ที่นั่ง,0,0,1,1,1,0,1,1,0,[],3.4,16.0,฿฿,นครราชสีมา,0.0,แหนมเห็ดทอด,ส้มตำโคราช,ไข่ยัดใส้,1,25.0,19.0,0.0,0.0,0,13,0.0,0,0.0
5684,ราชากระเพรา,https://www.wongnai.com/restaurants/489213kx-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%A3%E0%B8%B2,2,อาหารตามสั่ง,None,0,0,0,1,1,0,1,0,0,[],4.1,2.0,฿,นครราชสีมา,0.0,,,,2,0.0,0.0,0.0,0.0,50,0,50.0,0,0.0
5685,ส้มตำพันล้านโชคชัย,https://www.wongnai.com/restaurants/135417lT-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99-%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%8A%E0%B8%B1%E0%B8%A2,20,อาหารอีสาน/ร้านส้มตำ,81 - 150  ที่นั่ง,0,0,1,1,1,0,1,0,0,[],3.6,15.0,฿฿,นครราชสีมา,0.0,ไก่ย่าง,ตำป่า,ลาบหมู,2,67.0,67.0,0.0,0.0,0,0,33.0,0,0.0
5686,ปริม อาหารเช้า,https://www.wongnai.com/restaurants/346707Ef-%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%A1-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%8A%E0%B9%89%E0%B8%B2,17,อาหารเช้า,None,0,0,0,1,0,0,0,0,0,[],3.8,15.0,฿,นครราชสีมา,0.0,กาแฟโบราณ,ไข่กะทะ,ก๋วบจั๊บญวน,0,33.0,60.0,0.0,27.0,0,0,0.0,0,0.0
5687,หอมโอชา สาขาเซฟวัน,https://www.wongnai.com/restaurants/477924Bq-%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%8A%E0%B8%B2-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%9F%E0%B8%A7%E0%B8%B1%E0%B8%99,3,ก๋วยเตี๋ยว,None,0,0,0,1,0,1,0,0,0,[],4.0,1.0,฿,นครราชสีมา,0.0,,,,0,0.0,0.0,0.0,100.0,100,0,100.0,0,0.0
5688,ผัดไทย หอยทอด หน้าเคหะเอื้ออาทรหนองจะบกเอื้ออาทรหนองจะบก,https://www.wongnai.com/restaurants/453526Fj-%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%AB%E0%B8%AD%E0%B8%A2%E0%B8%97%E0%B8%AD%E0%B8%94-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%84%E0%B8%AB%E0%B8%B0%E0%B9%80%E0%B8%AD%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AD%E0%B8%B2%E0%B8%97%E0%B8%A3%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B0%E0%B8%9A%E0%B8%81-%E0%B9%80%E0%B8%AD%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AD%E0%B8%B2%E0%B8%97%E0%B8%A3%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B0%E0%B8%9A%E0%B8%81,1,อาหารไทย,None,0,0,0,1,0,1,0,0,0,[],4.0,1.0,฿,นครราชสีมา,0.0,ผัดไทยกุ้งสด,หอยทอด หอยแมงภู่,ผัดไทยทรงเครื่อง,0,0.0,0.0,0.0,100.0,100,0,0.0,0,0.0
